"ID","sex","age","edu","tenure","C","N","ch_str","hi_str","WE","posi_jc","nega_jc","JC1","JC2","JC3","JC4","JC5","JC6","JC7","JC8","JC9","JC10","JC11","JC12","JC13","JC14","JC15","JC16","JC17","JC18","JC19","JC20","JC21","mc_c","mc_n","mc_ch","mc_hi","mc_enga"
7,1,45,1,25,3.83333333333333,3.33333333333333,3.33333333333333,2.4,3.77777777777778,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,-0.0389492753623188,0.552536231884058,-0.354166666666667,-0.119565217391304,-0.140096618357489
28,1,37,3,45,4,3.16666666666667,3.5,2.2,3.88888888888889,4.4,3.25,4,4,5,4,5,4,4,4,3,3,3,4,4,4,4,5,5,4,5,5,4,0.127717391304348,0.385869565217391,-0.1875,-0.319565217391304,-0.0289855072463769
196,1,37,2,36,4,1.5,3.5,2.2,4,3,3.25,4,4,4,4,4,5,4,3,3,4,3,2,2,2,2,2,3,3,3,3,3,0.127717391304348,-1.28079710144928,-0.1875,-0.319565217391304,0.0821256038647342
22,1,36,3,7,3.66666666666667,3.5,3,2,3.77777777777778,3.86666666666667,2.5,4,4,4,4,4,4,4,2,2,3,3,4,4,5,4,4,4,4,2,3,4,-0.205615942028986,0.719202898550725,-0.6875,-0.519565217391304,-0.140096618357488
24,1,44,3,13,3.83333333333333,3,3.66666666666667,2.8,4.11111111111111,3.66666666666667,2.25,4,5,4,5,4,4,3,2,3,2,2,4,3,2,3,4,3,4,3,4,3,-0.0389492753623188,0.219202898550725,-0.0208333333333335,0.280434782608696,0.193236714975845
32,1,44,3,76,4.5,2.66666666666667,4.16666666666667,3,3.66666666666667,4.2,3,4,4,4,4,5,4,4,3,3,3,3,5,4,4,4,4,4,5,4,4,4,0.627717391304348,-0.114130434782609,0.479166666666667,0.480434782608696,-0.251207729468599
43,1,36,2,24,2.5,2.33333333333333,2.33333333333333,3.6,4,3.6,3.5,3,3,3,5,4,4,4,5,3,3,3,3,3,3,3,3,4,4,4,4,5,-1.37228260869565,-0.447463768115942,-1.35416666666667,1.0804347826087,0.0821256038647342
63,1,34,3,9,4.66666666666667,2.5,3.16666666666667,2.4,4,4.26666666666667,2.5,4,5,5,5,4,4,4,2,2,2,4,4,3,4,4,4,4,5,4,5,4,0.794384057971015,-0.280797101449275,-0.520833333333333,-0.119565217391304,0.0821256038647342
266,1,30,3,7,4,2.5,3.16666666666667,2.8,3.77777777777778,4.06666666666667,3.25,4,5,4,4,4,3,4,3,3,4,3,5,4,5,4,4,4,4,3,4,3,0.127717391304348,-0.280797101449275,-0.520833333333333,0.280434782608696,-0.140096618357488
14,1,44,3,54,4.16666666666667,3,3.83333333333333,2.4,4.11111111111111,4.2,2.5,5,5,5,5,5,4,4,3,3,1,3,3,3,2,4,4,5,5,4,3,5,0.294384057971015,0.219202898550725,0.145833333333333,-0.119565217391304,0.193236714975846
74,1,41,3,42,4.5,2.66666666666667,3.5,2.6,3.77777777777778,3.13333333333333,3.75,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,0.627717391304348,-0.114130434782609,-0.1875,0.080434782608696,-0.140096618357488
98,1,40,1,96,3.5,3.5,4,3.2,3,3.26666666666667,3,4,3,3,3,3,4,4,3,3,3,3,4,4,3,3,4,3,3,3,3,3,-0.372282608695652,0.719202898550725,0.3125,0.680434782608696,-0.917874396135266
125,1,28,3,33,3.83333333333333,3,3.33333333333333,2,3.66666666666667,3.8,3.5,4,4,4,4,4,4,2,3,3,4,4,4,4,3,4,4,4,4,3,3,4,-0.0389492753623188,0.219202898550725,-0.354166666666667,-0.519565217391304,-0.251207729468599
185,1,43,1,36,3.83333333333333,2.66666666666667,3.66666666666667,1.8,3.66666666666667,3.53333333333333,3,4,4,4,4,4,5,3,3,2,4,3,3,3,3,3,3,3,3,4,4,4,-0.0389492753623188,-0.114130434782609,-0.0208333333333335,-0.719565217391304,-0.251207729468599
268,1,35,3,32,3.16666666666667,1.5,4,2.2,3.77777777777778,3.86666666666667,3.25,4,4,3,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,3,4,-0.705615942028986,-1.28079710144928,0.3125,-0.319565217391304,-0.140096618357488
9,1,37,2,66,3.83333333333333,2.83333333333333,3.83333333333333,3.8,3.55555555555556,3.53333333333333,3.5,4,4,4,3,4,3,4,4,4,3,3,4,3,3,4,4,4,3,3,3,3,-0.0389492753623188,0.0525362318840581,0.145833333333333,1.2804347826087,-0.36231884057971
13,1,51,3,156,3.83333333333333,3.16666666666667,2.83333333333333,2.8,4,2.66666666666667,3,4,4,3,3,4,4,4,2,3,4,3,2,2,2,1,2,2,2,2,4,3,-0.0389492753623188,0.385869565217391,-0.854166666666667,0.280434782608696,0.0821256038647338
21,1,36,3,74,4,3.5,3.5,2.8,3.88888888888889,3.46666666666667,2,4,4,5,4,4,3,3,3,2,1,2,3,3,2,4,4,2,4,3,3,3,0.127717391304348,0.719202898550725,-0.1875,0.280434782608696,-0.0289855072463769
25,1,34,2,56,4,2.5,3.83333333333333,2.4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,0.127717391304348,-0.280797101449275,0.145833333333333,-0.119565217391304,0.0821256038647342
34,1,39,3,75,4,2.66666666666667,3.33333333333333,3.6,3.55555555555556,3.86666666666667,3.25,4,4,3,3,4,4,4,3,4,2,4,4,3,5,4,4,4,4,4,4,4,0.127717391304348,-0.114130434782609,-0.354166666666667,1.0804347826087,-0.36231884057971
49,1,37,2,62,4,4.33333333333333,4.16666666666667,3,2.55555555555556,3.93333333333333,3.5,4,4,4,5,4,5,3,5,2,4,3,4,4,2,4,4,4,4,3,5,4,0.127717391304348,1.55253623188406,0.479166666666667,0.480434782608696,-1.36231884057971
75,1,31,1,9,5,2.66666666666667,4.33333333333333,1.4,4.88888888888889,4.6,2,5,5,5,5,5,4,2,2,2,2,2,4,3,4,4,4,5,5,5,5,5,1.12771739130435,-0.114130434782609,0.645833333333333,-1.1195652173913,0.971014492753624
148,1,42,4,96,4,2.83333333333333,4.66666666666667,2.4,4.88888888888889,3.86666666666667,3.25,4,5,4,5,5,3,4,3,3,4,3,4,3,4,3,3,4,3,3,4,4,0.127717391304348,0.0525362318840581,0.979166666666667,-0.119565217391304,0.971014492753624
186,1,46,3,38,3.5,2.5,3,3,3.22222222222222,3.8,3,4,4,4,3,4,4,4,3,2,4,3,4,4,3,4,4,5,4,4,3,3,-0.372282608695652,-0.280797101449275,-0.6875,0.480434782608696,-0.695652173913043
189,1,39,3,26,4,3.16666666666667,3.66666666666667,3,4.11111111111111,4.13333333333333,3.5,5,5,5,5,5,4,4,4,4,4,2,3,3,3,3,4,5,4,4,4,4,0.127717391304348,0.385869565217391,-0.0208333333333335,0.480434782608696,0.193236714975845
202,1,39,3,156,3.66666666666667,2.5,3.5,2.6,4,3.4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,-0.205615942028986,-0.280797101449275,-0.1875,0.080434782608696,0.0821256038647342
16,1,30,1,20,4.16666666666667,3.66666666666667,3.66666666666667,3.2,3.33333333333333,4.06666666666667,3,4,4,4,4,4,4,4,4,3,3,2,5,4,3,4,4,4,4,4,5,4,0.294384057971015,0.885869565217391,-0.0208333333333335,0.680434782608696,-0.584541062801932
54,1,36,2,19,4.66666666666667,2.5,4,1.8,4.66666666666667,4.6,2.75,5,5,5,5,5,5,4,3,3,2,3,4,4,4,4,4,5,5,5,4,5,0.794384057971015,-0.280797101449275,0.3125,-0.719565217391304,0.748792270531401
55,1,36,4,5,4,1.83333333333333,3,2,3.33333333333333,3.93333333333333,3.25,4,4,4,4,4,4,3,4,4,2,3,3,3,4,4,4,4,5,4,4,4,0.127717391304348,-0.947463768115942,-0.6875,-0.519565217391304,-0.584541062801932
207,1,31,3,3,2.83333333333333,3,2.66666666666667,2.8,4.66666666666667,3.26666666666667,3.5,3,3,2,4,4,3,3,3,4,3,4,3,2,3,4,3,4,4,3,4,3,-1.03894927536232,0.219202898550725,-1.02083333333333,0.280434782608696,0.748792270531401
240,1,32,2,21,4.16666666666667,2.16666666666667,3.5,1.2,4.66666666666667,4.06666666666667,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,0.294384057971015,-0.614130434782609,-0.1875,-1.3195652173913,0.748792270531401
241,1,35,1,3,4.66666666666667,2,2.66666666666667,1.2,5,5,2,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,0.794384057971015,-0.780797101449275,-1.02083333333333,-1.3195652173913,1.08212560386473
244,1,36,1,14,3.66666666666667,2.16666666666667,3.33333333333333,2.4,3.77777777777778,3.53333333333333,3,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,2,4,3,-0.205615942028986,-0.614130434782609,-0.354166666666667,-0.119565217391304,-0.140096618357489
258,1,30,2,24,3.16666666666667,2.66666666666667,3.83333333333333,1.8,4.55555555555556,4.8,3.25,5,5,5,5,5,4,4,4,4,2,3,5,4,5,4,5,5,5,4,5,5,-0.705615942028986,-0.114130434782609,0.145833333333333,-0.719565217391304,0.63768115942029
289,1,35,2,20,4,1.83333333333333,3.16666666666667,2.2,4.22222222222222,3.93333333333333,3.75,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,3,4,3,0.127717391304348,-0.947463768115942,-0.520833333333333,-0.319565217391304,0.304347826086957
6,1,41,4,132,2.83333333333333,3,3.66666666666667,2,3.33333333333333,3.26666666666667,2.75,4,4,3,4,3,2,4,4,2,3,2,4,4,4,3,4,2,2,2,4,2,-1.03894927536232,0.219202898550725,-0.0208333333333335,-0.519565217391304,-0.584541062801932
17,2,46,3,180,4.5,2.16666666666667,3.16666666666667,1.6,4.33333333333333,4.06666666666667,2.75,4,4,4,4,4,4,4,4,2,2,3,4,4,4,4,4,5,4,3,5,4,0.627717391304348,-0.614130434782609,-0.520833333333333,-0.919565217391304,0.415458937198067
39,1,40,2,73,4.33333333333333,2.66666666666667,3.5,2,4.11111111111111,3.93333333333333,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,0.461050724637681,-0.114130434782609,-0.1875,-0.519565217391304,0.193236714975845
84,1,39,3,43,3.5,2.33333333333333,3.16666666666667,3.8,3.88888888888889,2.93333333333333,3.25,4,3,3,3,4,5,5,5,1,4,3,2,2,2,2,3,3,3,3,3,4,-0.372282608695652,-0.447463768115942,-0.520833333333333,1.2804347826087,-0.0289855072463769
114,1,35,3,14,2.83333333333333,2.66666666666667,3.16666666666667,1.6,3.77777777777778,2.86666666666667,3.5,3,3,3,4,4,3,4,4,4,3,3,2,4,2,2,2,2,2,3,4,3,-1.03894927536232,-0.114130434782609,-0.520833333333333,-0.919565217391304,-0.140096618357489
137,1,46,2,60,4.5,3.16666666666667,4.16666666666667,3,4,3.6,3.5,5,4,4,4,3,4,3,4,3,4,3,3,2,4,3,3,4,3,4,5,3,0.627717391304348,0.385869565217391,0.479166666666667,0.480434782608696,0.0821256038647342
177,1,38,3,52,3.83333333333333,2.16666666666667,3.16666666666667,3.4,3.88888888888889,4.26666666666667,3,4,4,5,5,5,5,4,4,3,2,3,4,4,5,3,4,4,5,3,5,4,-0.0389492753623188,-0.614130434782609,-0.520833333333333,0.880434782608696,-0.0289855072463769
195,2,43,3,42,4.16666666666667,2.33333333333333,4.83333333333333,2.6,4.77777777777778,4.93333333333333,2.75,5,5,5,5,5,5,5,4,2,1,4,5,4,5,5,5,5,5,5,5,5,0.294384057971015,-0.447463768115942,1.14583333333333,0.080434782608696,0.859903381642512
201,1,44,3,61,4.83333333333333,3.66666666666667,4.5,1.6,5,4.2,3.5,5,4,4,5,5,4,4,4,4,2,4,3,3,3,4,4,4,5,5,5,4,0.961050724637681,0.885869565217391,0.8125,-0.919565217391304,1.08212560386473
246,1,44,1,6,3.33333333333333,2.16666666666667,3.83333333333333,1.6,4.22222222222222,4.2,3,5,4,4,5,4,4,4,3,3,3,3,4,4,5,3,4,4,4,4,5,4,-0.538949275362319,-0.614130434782609,0.145833333333333,-0.919565217391304,0.304347826086957
132,1,44,1,120,4,2.33333333333333,3.83333333333333,3.4,3.11111111111111,3.86666666666667,1.75,5,5,4,5,4,2,3,2,2,1,2,4,4,4,4,4,4,4,3,1,3,0.127717391304348,-0.447463768115942,0.145833333333333,0.880434782608696,-0.806763285024155
11,1,29,1,36,4.83333333333333,2.5,4,1.8,4.55555555555555,4.53333333333333,2.75,4,5,4,5,5,4,3,2,2,4,3,4,5,4,4,5,5,4,4,5,5,0.961050724637681,-0.280797101449275,0.3125,-0.719565217391304,0.637681159420289
26,1,39,3,90,3.83333333333333,2.33333333333333,4.66666666666667,2.4,4.22222222222222,4.06666666666667,2.25,5,5,5,5,4,3,3,2,2,2,3,4,4,5,3,3,4,4,3,4,3,-0.0389492753623188,-0.447463768115942,0.979166666666667,-0.119565217391304,0.304347826086957
36,1,37,4,3,3.83333333333333,3,3.66666666666667,2.8,4.66666666666667,3.8,3.5,3,4,4,5,4,2,4,2,4,4,4,5,2,3,2,4,4,4,5,4,4,-0.0389492753623188,0.219202898550725,-0.0208333333333335,0.280434782608696,0.748792270531401
46,1,44,1,60,3.66666666666667,2.66666666666667,2.83333333333333,2.2,3.33333333333333,3.8,2,3,4,4,5,5,4,4,2,2,2,2,4,3,2,5,5,4,3,3,4,3,-0.205615942028986,-0.114130434782609,-0.854166666666667,-0.319565217391304,-0.584541062801932
79,1,36,2,23,4.33333333333333,3,3.33333333333333,3.4,3.88888888888889,4.26666666666667,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,4,4,5,5,5,3,4,0.461050724637681,0.219202898550725,-0.354166666666667,0.880434782608696,-0.0289855072463769
85,1,39,3,141,3.66666666666667,2.83333333333333,3.66666666666667,3,3.66666666666667,3.93333333333333,3,5,5,5,4,5,3,4,4,2,2,4,2,3,1,4,4,5,4,3,4,5,-0.205615942028986,0.0525362318840581,-0.0208333333333335,0.480434782608696,-0.251207729468599
96,1,38,2,20,4.66666666666667,1.66666666666667,4.5,2,4.66666666666667,4.66666666666667,3,5,5,5,5,5,3,4,3,3,3,3,4,4,5,4,4,4,5,5,5,5,0.794384057971015,-1.11413043478261,0.8125,-0.519565217391304,0.748792270531401
104,1,37,2,10,4,3,3.66666666666667,2.8,4.11111111111111,3.93333333333333,3.25,4,4,4,5,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,0.127717391304348,0.219202898550725,-0.0208333333333335,0.280434782608696,0.193236714975845
149,1,41,3,49,3.16666666666667,2.83333333333333,4.16666666666667,2.8,3.44444444444444,3.46666666666667,2.75,4,4,3,4,4,4,4,3,3,2,3,4,3,3,4,4,3,3,3,3,3,-0.705615942028986,0.0525362318840581,0.479166666666667,0.280434782608696,-0.473429951690822
190,1,39,3,60,3.33333333333333,2.16666666666667,3.83333333333333,2.4,4.22222222222222,4.4,2.25,4,4,4,4,3,3,4,3,2,2,2,4,4,5,4,5,5,5,5,5,5,-0.538949275362319,-0.614130434782609,0.145833333333333,-0.119565217391304,0.304347826086957
191,1,40,1,15,3.5,2.5,3.16666666666667,3.4,3,3.06666666666667,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-0.372282608695652,-0.280797101449275,-0.520833333333333,0.880434782608696,-0.917874396135266
192,1,32,2,14,3.5,2.66666666666667,3.83333333333333,2.4,3.22222222222222,3.33333333333333,3.5,4,4,4,5,4,4,2,4,4,3,3,4,2,2,3,4,3,2,3,3,3,-0.372282608695652,-0.114130434782609,0.145833333333333,-0.119565217391304,-0.695652173913043
203,1,39,2,157,3.83333333333333,2.16666666666667,3.83333333333333,3.2,4.22222222222222,3.73333333333333,2.75,4,4,4,4,4,5,5,3,2,2,4,3,3,3,3,3,4,4,4,5,4,-0.0389492753623188,-0.614130434782609,0.145833333333333,0.680434782608696,0.304347826086956
206,1,39,2,90,3.83333333333333,3.16666666666667,5,2.8,4.11111111111111,4,2.5,4,4,4,5,4,4,4,4,2,2,2,4,3,4,4,4,4,4,4,5,3,-0.0389492753623188,0.385869565217391,1.3125,0.280434782608696,0.193236714975845
251,1,36,3,3,4,3.33333333333333,3.66666666666667,2,3.77777777777778,3.8,3.25,4,4,4,4,5,5,5,4,4,3,2,2,4,3,4,4,5,3,3,4,4,0.127717391304348,0.552536231884058,-0.0208333333333335,-0.519565217391304,-0.140096618357489
254,1,28,2,19,3.83333333333333,3.66666666666667,2.83333333333333,2,3.77777777777778,4.13333333333333,4.25,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,2,3,4,4,4,-0.0389492753623188,0.885869565217391,-0.854166666666667,-0.519565217391304,-0.140096618357488
3,1,35,4,21,3.16666666666667,2.83333333333333,4,2.2,3.22222222222222,4,3.5,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,-0.705615942028986,0.0525362318840581,0.3125,-0.319565217391304,-0.695652173913044
4,1,31,1,12,5,3.16666666666667,4.66666666666667,3.4,5,4.86666666666667,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.12771739130435,0.385869565217391,0.979166666666667,0.880434782608696,1.08212560386473
5,1,35,1,60,2.5,3.33333333333333,3.66666666666667,3.6,3.55555555555556,3.93333333333333,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-1.37228260869565,0.552536231884058,-0.0208333333333335,1.0804347826087,-0.36231884057971
12,1,43,3,55,3.5,2.83333333333333,3,1.4,4.66666666666667,4.66666666666667,1.25,5,5,5,5,5,3,3,1,1,1,2,4,4,4,4,4,5,5,5,5,5,-0.372282608695652,0.0525362318840581,-0.6875,-1.1195652173913,0.748792270531401
20,1,42,3,60,3.16666666666667,3.33333333333333,3.5,3.4,3.44444444444444,3.26666666666667,4.5,3,3,3,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,4,2,4,-0.705615942028986,0.552536231884058,-0.1875,0.880434782608696,-0.473429951690822
30,1,36,3,53,3.66666666666667,3.33333333333333,3.33333333333333,3.6,3.33333333333333,3.2,2.75,4,4,4,3,3,2,4,3,2,3,3,3,3,3,2,3,4,3,3,3,3,-0.205615942028986,0.552536231884058,-0.354166666666667,1.0804347826087,-0.584541062801932
35,1,32,4,72,4.5,3.5,4,2.4,4.88888888888889,4.13333333333333,4.5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,3,3,4,4,4,4,4,0.627717391304348,0.719202898550725,0.3125,-0.119565217391304,0.971014492753624
45,1,47,3,156,4.16666666666667,3.33333333333333,4.16666666666667,1.4,4.44444444444444,3.8,4.5,4,4,5,4,4,4,4,5,4,4,5,3,4,4,4,4,4,4,3,3,3,0.294384057971015,0.552536231884058,0.479166666666667,-1.1195652173913,0.526570048309179
58,1,46,3,55,3.5,2.33333333333333,3.33333333333333,2.2,3.44444444444444,3.53333333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,3,-0.372282608695652,-0.447463768115942,-0.354166666666667,-0.319565217391304,-0.473429951690821
59,1,44,2,46,3.5,3,3.66666666666667,2.2,3.77777777777778,3.86666666666667,3,4,4,4,5,4,4,4,4,2,3,3,4,2,4,3,4,4,4,4,4,4,-0.372282608695652,0.219202898550725,-0.0208333333333335,-0.319565217391304,-0.140096618357489
67,1,32,2,18,4.5,1.66666666666667,3.66666666666667,2.8,3.77777777777778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.627717391304348,-1.11413043478261,-0.0208333333333335,0.280434782608696,-0.140096618357489
68,1,42,2,114,3.33333333333333,3.33333333333333,4.5,3.4,4.44444444444444,4.66666666666667,4.5,5,5,5,5,5,3,4,4,4,5,5,4,5,4,5,4,5,4,5,5,4,-0.538949275362319,0.552536231884058,0.8125,0.880434782608696,0.526570048309178
71,1,36,2,60,3.16666666666667,1.66666666666667,3.33333333333333,2,3.55555555555556,3.86666666666667,3.5,5,4,4,5,4,3,3,3,4,3,4,4,4,4,3,4,2,3,3,5,4,-0.705615942028986,-1.11413043478261,-0.354166666666667,-0.519565217391304,-0.36231884057971
72,1,43,3,11,3,2.33333333333333,3.83333333333333,2,3.88888888888889,3.6,3.5,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,2,4,4,4,4,4,-0.872282608695652,-0.447463768115942,0.145833333333333,-0.519565217391304,-0.0289855072463769
82,1,39,3,36,3.83333333333333,2.5,3.5,3.8,2.66666666666667,3.66666666666667,2,4,4,5,4,5,4,4,2,2,2,2,3,4,4,1,4,5,4,3,3,2,-0.0389492753623188,-0.280797101449275,-0.1875,1.2804347826087,-1.2512077294686
87,1,38,3,92,3.66666666666667,2,3.83333333333333,2.8,3.77777777777778,3.8,3.25,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,-0.205615942028986,-0.780797101449275,0.145833333333333,0.280434782608696,-0.140096618357489
111,1,39,3,31,3.16666666666667,3.5,3.5,2.8,4,3.86666666666667,3.5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,-0.705615942028986,0.719202898550725,-0.1875,0.280434782608696,0.0821256038647342
118,1,35,3,61,3.83333333333333,2.5,3.5,3.4,3.77777777777778,3.8,3.5,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,-0.0389492753623188,-0.280797101449275,-0.1875,0.880434782608696,-0.140096618357489
124,1,57,3,156,4.33333333333333,2.5,3,3,4.77777777777778,4.53333333333333,4,4,5,4,4,5,5,5,3,3,5,5,3,3,5,5,5,5,5,5,5,5,0.461050724637681,-0.280797101449275,-0.6875,0.480434782608696,0.859903381642512
128,1,35,3,28,3.66666666666667,3,3,2.6,4.55555555555556,3.4,3.5,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4,-0.205615942028986,0.219202898550725,-0.6875,0.080434782608696,0.63768115942029
140,1,40,1,51,3.66666666666667,2.83333333333333,3.33333333333333,2.8,3.77777777777778,3.6,2.75,4,5,5,4,4,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,-0.205615942028986,0.0525362318840581,-0.354166666666667,0.280434782608696,-0.140096618357488
143,1,41,3,132,4.5,2.66666666666667,4.83333333333333,2,4.77777777777778,4.53333333333333,2.75,5,5,5,5,5,5,5,4,2,2,3,4,4,4,4,4,4,4,5,5,5,0.627717391304348,-0.114130434782609,1.14583333333333,-0.519565217391304,0.859903381642513
147,1,36,1,6,4.16666666666667,2.5,2.83333333333333,2.4,4.22222222222222,3.53333333333333,2,5,5,5,5,4,3,4,2,2,2,2,3,2,3,2,3,3,3,3,4,3,0.294384057971015,-0.280797101449275,-0.854166666666667,-0.119565217391304,0.304347826086957
165,1,33,1,7,4.5,2.66666666666667,4,2.2,4.77777777777778,4.26666666666667,3,5,5,5,5,5,3,3,2,5,3,2,3,3,5,3,3,3,5,4,5,5,0.627717391304348,-0.114130434782609,0.3125,-0.319565217391304,0.859903381642512
167,1,37,2,86,3.5,2.66666666666667,3.33333333333333,2.4,4.55555555555556,4.13333333333333,2.75,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,5,5,-0.372282608695652,-0.114130434782609,-0.354166666666667,-0.119565217391304,0.63768115942029
168,2,44,2,58,3.5,2.66666666666667,3.16666666666667,1.8,3.22222222222222,3.53333333333333,3.25,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,3,4,3,-0.372282608695652,-0.114130434782609,-0.520833333333333,-0.719565217391304,-0.695652173913043
172,1,36,3,36,3.66666666666667,2.66666666666667,3.83333333333333,3.6,3.44444444444444,3.8,3.75,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,-0.205615942028986,-0.114130434782609,0.145833333333333,1.0804347826087,-0.473429951690821
179,1,38,3,36,5,1.83333333333333,4.16666666666667,1.2,5,4.2,2.25,5,5,5,5,5,2,1,2,2,3,2,3,3,2,3,3,5,5,5,5,4,1.12771739130435,-0.947463768115942,0.479166666666667,-1.3195652173913,1.08212560386473
